scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S3,0,2,discrete_identity,64,16,0.0011460921277711633,0.0011460921277711633,1.0,True,True
AR-S3,1,0,cubic_bspline,24,16,0.0456259301306263,0.00011798957640013387,386.69458373082637,True,False
AR-S3,1,0,cubic_bspline,28,16,0.03343398685101566,0.00011798957640013387,283.3639027369008,True,False
AR-S3,1,0,cubic_bspline,32,16,0.008149314470417455,0.00011798957640013387,69.06808820790214,True,False
AR-S3,1,0,cubic_bspline,40,16,0.0037297111373557888,0.00011798957640013387,31.610513836471043,True,False
AR-S3,1,0,discrete_identity,64,16,0.00011798957640013387,0.00011798957640013387,1.0,True,True
AR-S3,1,1,cubic_bspline,24,16,0.08139671359522928,0.01612090144108309,5.049141568956866,True,False
AR-S3,1,1,cubic_bspline,28,16,0.03377970699542121,0.01612090144108309,2.0953981462435953,True,False
AR-S3,1,1,cubic_bspline,32,16,0.022913069742555938,0.01612090144108309,1.421326830034668,True,True
AR-S3,1,1,cubic_bspline,40,16,0.016542367358141803,0.01612090144108309,1.026144066360001,True,True
AR-S3,1,1,discrete_identity,64,16,0.01612090144108309,0.01612090144108309,1.0,True,True
AR-S3,1,2,cubic_bspline,24,16,0.06659742124894875,0.0003141115043084327,212.01840854435991,True,False
AR-S3,1,2,cubic_bspline,28,16,0.03971716574592988,0.0003141115043084327,126.44288795908207,True,False
AR-S3,1,2,cubic_bspline,32,16,0.016811526907790954,0.0003141115043084327,53.520888847430946,True,False
AR-S3,1,2,cubic_bspline,40,16,0.003686215727952855,0.0003141115043084327,11.735373195160921,True,False
AR-S3,1,2,discrete_identity,64,16,0.0003141115043084327,0.0003141115043084327,1.0,True,True
AR-S3,2,0,cubic_bspline,24,16,0.04560495915457111,0.00026129788885073966,174.5324440054006,True,False
AR-S3,2,0,cubic_bspline,28,16,0.0334481112683432,0.00026129788885073966,128.0075832815077,True,False
AR-S3,2,0,cubic_bspline,32,16,0.008156374838168397,0.00026129788885073966,31.214851654723994,True,False
AR-S3,2,0,cubic_bspline,40,16,0.0037369378750380833,0.00026129788885073966,14.30144687151576,True,False
AR-S3,2,0,discrete_identity,64,16,0.00026129788885073966,0.00026129788885073966,1.0,True,True
AR-S3,2,1,cubic_bspline,24,16,0.08068488042309886,0.013255035364785832,6.08711166757438,True,False
AR-S3,2,1,cubic_bspline,28,16,0.03212074106239213,0.013255035364785832,2.423285957254111,True,False
AR-S3,2,1,cubic_bspline,32,16,0.021010412055056552,0.013255035364785832,1.5850890983568513,True,True
AR-S3,2,1,cubic_bspline,40,16,0.013765246141287378,0.013255035364785832,1.0384918457371306,True,True
AR-S3,2,1,discrete_identity,64,16,0.013255035364785832,0.013255035364785832,1.0,True,True
AR-S3,2,2,cubic_bspline,24,16,0.06682717895615037,0.0028764529615526186,23.232494968413864,True,False
AR-S3,2,2,cubic_bspline,28,16,0.039856936699787605,0.0028764529615526186,13.85627967240392,True,False
AR-S3,2,2,cubic_bspline,32,16,0.017043305024895324,0.0028764529615526186,5.925111674934494,True,False
AR-S3,2,2,cubic_bspline,40,16,0.004664958557122471,0.0028764529615526186,1.621774671609604,True,True
AR-S3,2,2,discrete_identity,64,16,0.0028764529615526186,0.0028764529615526186,1.0,True,True
AR-S3,3,0,cubic_bspline,24,16,0.04559928472696213,0.0001278028817172384,356.79386970201296,True,False
AR-S3,3,0,cubic_bspline,28,16,0.033450489054079754,0.0001278028817172384,261.7350141453646,True,False
AR-S3,3,0,cubic_bspline,32,16,0.008154073068083747,0.0001278028817172384,63.801949991428884,True,False
