scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S2,4,0,cubic_bspline,32,24,0.012317645602176373,-4.366381614835827,3.9993204059692293
AR-S2,4,0,discrete_identity,64,24,6.855015378809172e-05,-4.366381614835827,3.9993204059692293
AR-S2,4,1,cubic_bspline,32,16,0.014346672953089576,-4.124539588728646,4.759383036705095
AR-S2,4,1,discrete_identity,64,16,1.4536565630237885e-15,-4.124539588728646,4.759383036705095
AR-S2,4,1,cubic_bspline,32,20,0.014346672953089562,-4.124539588728646,4.759383036705095
AR-S2,4,1,discrete_identity,64,20,1.3298741516533662e-15,-4.124539588728646,4.759383036705095
AR-S2,4,1,cubic_bspline,32,24,0.014346672953089588,-4.124539588728646,4.759383036705095
AR-S2,4,1,discrete_identity,64,24,1.4755056157008447e-15,-4.124539588728646,4.759383036705095
AR-S2,4,2,cubic_bspline,32,16,0.017151330756879458,-4.087787184343996,4.596657531489536
AR-S2,4,2,discrete_identity,64,16,0.001321907312405815,-4.087787184343996,4.596657531489536
AR-S2,4,2,cubic_bspline,32,20,0.017104855224018525,-4.087787184343996,4.596657531489536
AR-S2,4,2,discrete_identity,64,20,0.00039357178862701217,-4.087787184343996,4.596657531489536
AR-S2,4,2,cubic_bspline,32,24,0.01710104868575888,-4.087787184343996,4.596657531489536
AR-S2,4,2,discrete_identity,64,24,0.0001570177846823921,-4.087787184343996,4.596657531489536
AR-S3,0,0,cubic_bspline,32,16,0.007805345541203951,-4.067165448049297,4.649118871680332
AR-S3,0,0,discrete_identity,64,16,0.0012153085299814383,-4.067165448049297,4.649118871680332
AR-S3,0,0,cubic_bspline,32,20,0.007713965507811923,-4.067165448049297,4.649118871680332
AR-S3,0,0,discrete_identity,64,20,0.00024240978334628654,-4.067165448049297,4.649118871680332
AR-S3,0,0,cubic_bspline,32,24,0.007710502658314139,-4.067165448049297,4.649118871680332
AR-S3,0,0,discrete_identity,64,24,7.312820361304565e-05,-4.067165448049297,4.649118871680332
AR-S3,0,1,cubic_bspline,32,16,0.016510056646033812,-4.521443420064528,5.213319289809546
AR-S3,0,1,discrete_identity,64,16,0.0015221743393335203,-4.521443420064528,5.213319289809546
AR-S3,0,1,cubic_bspline,32,20,0.016445884813782164,-4.521443420064528,5.213319289809546
AR-S3,0,1,discrete_identity,64,20,0.0004490416478302336,-4.521443420064528,5.213319289809546
AR-S3,0,1,cubic_bspline,32,24,0.01644020244563475,-4.521443420064528,5.213319289809546
AR-S3,0,1,discrete_identity,64,24,0.00012132779955088638,-4.521443420064528,5.213319289809546
AR-S3,0,2,cubic_bspline,32,16,0.015490950022538948,-4.415293150630278,4.565560524506193
AR-S3,0,2,discrete_identity,64,16,0.00018422040864145408,-4.415293150630278,4.565560524506193
AR-S3,0,2,cubic_bspline,32,20,0.01548994997094957,-4.415293150630278,4.565560524506193
AR-S3,0,2,discrete_identity,64,20,5.4257942458324984e-05,-4.415293150630278,4.565560524506193
AR-S3,0,2,cubic_bspline,32,24,0.015489869917598853,-4.415293150630278,4.565560524506193
AR-S3,0,2,discrete_identity,64,24,2.1518051123613067e-05,-4.415293150630278,4.565560524506193
AR-S3,1,0,cubic_bspline,32,16,0.0077392340394755975,-4.467411914119744,4.780628086959977
AR-S3,1,0,discrete_identity,64,16,0.0012419899927574305,-4.467411914119744,4.780628086959977
AR-S3,1,0,cubic_bspline,32,20,0.007645385644034701,-4.467411914119744,4.780628086959977
AR-S3,1,0,discrete_identity,64,20,0.0003141003667955151,-4.467411914119744,4.780628086959977
AR-S3,1,0,cubic_bspline,32,24,0.007639553578483235,-4.467411914119744,4.780628086959977
