scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S3,1,1,discrete_identity,64,24,0.0007498919480242484,-2.382253556697118,2.1976954931311274
AR-S3,1,2,cubic_bspline,32,16,0.01681979326575544,-2.366730063244457,2.3065707433754934
AR-S3,1,2,discrete_identity,64,16,0.0006138197716617169,-2.366730063244457,2.3065707433754934
AR-S3,1,2,cubic_bspline,32,20,0.01680961015589524,-2.366730063244457,2.3065707433754934
AR-S3,1,2,discrete_identity,64,20,0.0001849435931889618,-2.366730063244457,2.3065707433754934
AR-S3,1,2,cubic_bspline,32,24,0.016808756676881007,-2.366730063244457,2.3065707433754934
AR-S3,1,2,discrete_identity,64,24,7.417290099071882e-05,-2.366730063244457,2.3065707433754934
AR-S3,2,0,cubic_bspline,32,16,0.008232029046900709,-2.3133211636758695,2.344471142114899
AR-S3,2,0,discrete_identity,64,16,0.0011437537897447294,-2.3133211636758695,2.344471142114899
AR-S3,2,0,cubic_bspline,32,20,0.00816028904171236,-2.3133211636758695,2.344471142114899
AR-S3,2,0,discrete_identity,64,20,0.0003635111014367161,-2.3133211636758695,2.344471142114899
AR-S3,2,0,cubic_bspline,32,24,0.008153121269469474,-2.3133211636758695,2.344471142114899
AR-S3,2,0,discrete_identity,64,24,0.00012330771980673217,-2.3133211636758695,2.344471142114899
AR-S3,2,1,cubic_bspline,32,16,0.016603357879130237,-2.354143431190532,2.422729511205041
AR-S3,2,1,discrete_identity,64,16,0.0031440420544013165,-2.354143431190532,2.422729511205041
AR-S3,2,1,cubic_bspline,32,20,0.016344285192246934,-2.354143431190532,2.422729511205041
AR-S3,2,1,discrete_identity,64,20,0.001160609349877613,-2.354143431190532,2.422729511205041
AR-S3,2,1,cubic_bspline,32,24,0.01630808653751947,-2.354143431190532,2.422729511205041
AR-S3,2,1,discrete_identity,64,24,0.00040588686449325345,-2.354143431190532,2.422729511205041
AR-S3,2,2,cubic_bspline,32,16,0.016864645558413723,-2.3669960129718848,2.312013011057594
AR-S3,2,2,discrete_identity,64,16,0.0014882192456176196,-2.3669960129718848,2.312013011057594
AR-S3,2,2,cubic_bspline,32,20,0.016804840265615153,-2.3669960129718848,2.312013011057594
AR-S3,2,2,discrete_identity,64,20,0.00044775583475336494,-2.3669960129718848,2.312013011057594
AR-S3,2,2,cubic_bspline,32,24,0.01679980897008174,-2.3669960129718848,2.312013011057594
AR-S3,2,2,discrete_identity,64,24,0.0001770643285044503,-2.3669960129718848,2.312013011057594
AR-S3,3,0,cubic_bspline,32,16,0.008189596037171235,-2.326804680537102,2.3631348952527333
AR-S3,3,0,discrete_identity,64,16,0.0007726134175842574,-2.326804680537102,2.3631348952527333
AR-S3,3,0,cubic_bspline,32,20,0.008156270977694318,-2.326804680537102,2.3631348952527333
AR-S3,3,0,discrete_identity,64,20,0.00022843497109518044,-2.326804680537102,2.3631348952527333
AR-S3,3,0,cubic_bspline,32,24,0.00815344555361721,-2.326804680537102,2.3631348952527333
AR-S3,3,0,discrete_identity,64,24,7.80948816448212e-05,-2.326804680537102,2.3631348952527333
AR-S3,3,1,cubic_bspline,32,16,0.0165615291384625,-2.3280646473944784,2.262073526523283
AR-S3,3,1,discrete_identity,64,16,0.0030052249471102356,-2.3280646473944784,2.262073526523283
AR-S3,3,1,cubic_bspline,32,20,0.01632387835859028,-2.3280646473944784,2.262073526523283
AR-S3,3,1,discrete_identity,64,20,0.001101891080086512,-2.3280646473944784,2.262073526523283
AR-S3,3,1,cubic_bspline,32,24,0.016291177816203855,-2.3280646473944784,2.262073526523283
AR-S3,3,1,discrete_identity,64,24,0.000383881549152251,-2.3280646473944784,2.262073526523283
AR-S3,3,2,cubic_bspline,32,16,0.01683380427773424,-2.4435492940513197,2.1917242862147535
AR-S3,3,2,discrete_identity,64,16,0.0006445974442430188,-2.4435492940513197,2.1917242862147535
AR-S3,3,2,cubic_bspline,32,20,0.016822587859945257,-2.4435492940513197,2.1917242862147535
AR-S3,3,2,discrete_identity,64,20,0.000194604453032894,-2.4435492940513197,2.1917242862147535
AR-S3,3,2,cubic_bspline,32,24,0.016821644419311613,-2.4435492940513197,2.1917242862147535
AR-S3,3,2,discrete_identity,64,24,7.822121193948164e-05,-2.4435492940513197,2.1917242862147535
AR-S3,4,0,cubic_bspline,32,16,0.008244719524865078,-2.257957250031499,2.292153837567368
AR-S3,4,0,discrete_identity,64,16,0.0012498545057183417,-2.257957250031499,2.292153837567368
AR-S3,4,0,cubic_bspline,32,20,0.008154493106498385,-2.257957250031499,2.292153837567368
AR-S3,4,0,discrete_identity,64,20,0.0002871140017068646,-2.257957250031499,2.292153837567368
AR-S3,4,0,cubic_bspline,32,24,0.008149939001823647,-2.257957250031499,2.292153837567368
AR-S3,4,0,discrete_identity,64,24,9.043983900884736e-05,-2.257957250031499,2.292153837567368
AR-S3,4,1,cubic_bspline,32,16,0.017726729679521627,-2.2906900525016143,2.279082864773441
